comment_id,index,sentiment_confidence,sentiment_margin,sentiment_entropy,respect_confidence,respect_margin,respect_entropy,insult_confidence,insult_margin,insult_entropy,humiliate_confidence,humiliate_margin,humiliate_entropy,status_confidence,status_margin,status_entropy,dehumanize_confidence,dehumanize_margin,dehumanize_entropy,violence_confidence,violence_margin,violence_entropy,genocide_confidence,genocide_margin,genocide_entropy,attack_defend_confidence,attack_defend_margin,attack_defend_entropy,hatespeech_confidence,hatespeech_margin,hatespeech_entropy
23175,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32857,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5141,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34789,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22001,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12494,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42332,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23793,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35604,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47202,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4948,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17862,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15365,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49891,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6946,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24396,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12809,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34824,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17470,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42264,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17372,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34112,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46835,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15009,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13193,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
